canonical_id,team_idx,conference,conf_idx
BSB_ALABAMA,1,SEC,23
BSB_ARIZONA,2,Big 12,6
BSB_ARKANSAS,3,SEC,23
BSB_AUBURN,4,SEC,23
BSB_BAYLOR,5,Big 12,6
BSB_BOSTON_COLLEGE,6,ACC,1
BSB_BYU,7,Big 12,6
BSB_CINCINNATI,8,Big 12,6
BSB_CLEMSON,9,ACC,1
BSB_COASTAL_CAROLINA,10,Sun Belt,28
BSB_DUKE,11,ACC,1
BSB_EAST_CAROLINA,12,American,4
BSB_FLORIDA,13,SEC,23
BSB_GEORGIA,14,SEC,23
BSB_GEORGIA_TECH,15,ACC,1
BSB_GONZAGA,16,WCC,30
BSB_HOUSTON,17,Big 12,6
BSB_ILLINOIS,18,Big Ten,9
BSB_INDIANA,19,Big Ten,9
BSB_IOWA,20,Big Ten,9
BSB_KANSAS,21,Big 12,6
BSB_KENTUCKY,22,SEC,23
BSB_LIBERTY,23,CUSA,12
BSB_LOUISIANA,24,Sun Belt,28
BSB_LOUISVILLE,25,ACC,1
BSB_LSU,26,SEC,23
BSB_MARYLAND,27,Big Ten,9
BSB_MICHIGAN,28,Big Ten,9
BSB_MINNESOTA,29,Big Ten,9
BSB_MISSOURI,30,SEC,23
BSB_NC_STATE,31,ACC,1
BSB_NEBRASKA,32,Big Ten,9
BSB_NORTHWESTERN,33,Big Ten,9
BSB_NORTH_CAROLINA,34,ACC,1
BSB_NOTRE_DAME,35,ACC,1
BSB_OKLAHOMA,36,SEC,23
BSB_OLE_MISS,37,SEC,23
BSB_OREGON,38,Big Ten,9
BSB_PURDUE,39,Big Ten,9
BSB_RUTGERS,40,Big Ten,9
BSB_SAN_DIEGO,41,WCC,30
BSB_SOUTH_CAROLINA,42,SEC,23
BSB_STANFORD,43,ACC,1
BSB_TCU,44,Big 12,6
BSB_TENNESSEE,45,SEC,23
BSB_TEXAS,46,SEC,23
BSB_TEXAS_TECH,47,Big 12,6
BSB_UCF,48,Big 12,6
BSB_UCLA,49,Big Ten,9
BSB_UC_SANTA_BARBARA,50,Big West,10
BSB_UTAH,51,Big 12,6
BSB_VANDERBILT,52,SEC,23
BSB_VIRGINIA,53,ACC,1
BSB_VIRGINIA_TECH,54,ACC,1
BSB_WAKE_FOREST,55,ACC,1
BSB_WASHINGTON,56,Big Ten,9
BSB_WEST_VIRGINIA,57,Big 12,6
NCAA_614563,58,Patriot,22
NCAA_614564,59,Big East,7
NCAA_614565,60,Big West,10
NCAA_614566,61,Big West,10
NCAA_614567,62,Big West,10
NCAA_614568,63,Big West,10
NCAA_614569,64,Big West,10
NCAA_614570,65,WAC,29
